index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
31,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.90990991,0.625,-31.31188119
32,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.963963964,0.875,-9.228971963
33,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.927927928,0.375,-59.58737864
34,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.891891892,0.625,-29.92424242
35,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.882882883,0.375,-57.5255102
36,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.882882883,0.375,-57.5255102
37,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.918918919,0.625,-31.98529412
38,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.954954955,0.25,-73.82075472
39,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.882882883,0.625,-29.20918367
40,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.927927928,0.5,-46.11650485
41,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.945945946,0.75,-20.71428571
42,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.972972973,0.375,-61.45833333
43,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.900900901,0.375,-58.375
44,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,5,3,0.001,0.892857143,0.428571429,-52
45,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.972972973,0.375,-61.45833333
46,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.90990991,0.625,-31.31188119
47,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.972972973,0.875,-10.06944444
48,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.954954955,0.5,-47.64150943
49,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.954954955,0.375,-60.73113208
