index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
135,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.927927928,0.375,-59.58737864
136,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.972972973,0.625,-35.76388889
137,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.963963964,0.5,-48.13084112
138,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.945945946,0.5,-47.14285714
139,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.945945946,0.5,-47.14285714
140,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.945945946,0.5,-47.14285714
141,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.963963964,0.375,-61.09813084
142,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.90990991,0.75,-17.57425743
143,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.954954955,0.375,-60.73113208
144,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.864864865,0.5,-42.1875
145,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.918918919,0.75,-18.38235294
146,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.918918919,0.625,-31.98529412
147,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.918918919,0.625,-31.98529412
148,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.945945946,0.5,-47.14285714
149,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,5,4,1.00E-05,0.919642857,0.571428571,-37.86407767
150,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.828828829,0.375,-54.75543478
151,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.837837838,0.75,-10.48387097
152,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.90990991,0.75,-17.57425743
153,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.81981982,0.5,-39.01098901
154,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.855855856,0.5,-41.57894737
155,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.837837838,0.625,-25.40322581
156,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.81981982,0.75,-8.516483516
157,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.828828829,0.75,-9.510869565
158,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.801801802,0.625,-22.0505618
159,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.81981982,0.5,-39.01098901
160,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.837837838,0.875,4.435483871
161,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.855855856,0.875,2.236842105
162,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.810810811,0.875,7.916666667
163,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.846846847,0.625,-26.19680851
164,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,6,3,0.1,0.830357143,1,20.43010753
165,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.954954955,0.25,-73.82075472
166,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.954954955,0.75,-21.46226415
167,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.918918919,0.75,-18.38235294
168,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.945945946,0.625,-33.92857143
169,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.927927928,0.5,-46.11650485
170,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.918918919,0.375,-59.19117647
171,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.927927928,0.375,-59.58737864
172,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.954954955,0.25,-73.82075472
173,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.945945946,0.375,-60.35714286
174,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.882882883,0.5,-43.36734694
175,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.927927928,0.5,-46.11650485
176,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.945945946,0.5,-47.14285714
177,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.945945946,0.625,-33.92857143
178,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.990990991,0.375,-62.15909091
179,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,6,3,0.01,0.919642857,0.857142857,-6.796116505
180,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.936936937,0.375,-59.97596154
181,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.981981982,0.625,-36.35321101
182,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,1,0.75,-25
183,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.891891892,0.5,-43.93939394
184,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.891891892,0.5,-43.93939394
185,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.963963964,0.375,-61.09813084
186,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.990990991,0.375,-62.15909091
187,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.972972973,1,2.777777778
188,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.954954955,0.5,-47.64150943
189,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.963963964,0.5,-48.13084112
190,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.936936937,0.875,-6.610576923
191,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.927927928,0.625,-32.64563107
192,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.891891892,0.5,-43.93939394
193,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.945945946,0.5,-47.14285714
194,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0,6,3,0.001,0.973214286,0.428571429,-55.96330275
195,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.972972973,0.375,-61.45833333
196,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.873873874,0.625,-28.47938144
197,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.954954955,0.75,-21.46226415
198,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.954954955,0.5,-47.64150943
199,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.981981982,0.625,-36.35321101
200,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.864864865,0.5,-42.1875
201,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.954954955,0.375,-60.73113208
202,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.963963964,0.625,-35.1635514
203,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.945945946,0.375,-60.35714286
204,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.963963964,0.625,-35.1635514
205,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.963963964,0.625,-35.1635514
206,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.963963964,0.375,-61.09813084
207,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.954954955,0.5,-47.64150943
208,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.936936937,0.375,-59.97596154
209,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,6,3,0.0001,0.928571429,0.571428571,-38.46153846
210,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.864864865,0.375,-56.640625
211,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.972972973,0.625,-35.76388889
212,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.963963964,0.625,-35.1635514
213,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.981981982,0.25,-74.5412844
214,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.918918919,0.5,-45.58823529
215,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.945945946,0.5,-47.14285714
216,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,1,0.5,-50
217,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.954954955,0.625,-34.55188679
218,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.927927928,0.25,-73.05825243
219,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.936936937,0.5,-46.63461538
220,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.918918919,0.625,-31.98529412
221,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.981981982,0.625,-36.35321101
222,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.945945946,0.5,-47.14285714
223,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,0.972972973,0.25,-74.30555556
224,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,6,3,1.00E-05,1,0.428571429,-57.14285714
225,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.837837838,0.375,-55.24193548
226,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.873873874,0.875,0.128865979
227,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.855855856,1,16.84210526
228,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.864864865,0.375,-56.640625
229,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.846846847,0.5,-40.95744681
230,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.792792793,0.5,-36.93181818
231,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.828828829,0.5,-39.67391304
232,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.873873874,0.875,0.128865979
233,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.873873874,0.5,-42.78350515
234,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.81981982,0.75,-8.516483516
235,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.846846847,0.75,-11.43617021
236,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.846846847,0.75,-11.43617021
237,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.828828829,0.5,-39.67391304
238,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.837837838,0.625,-25.40322581
239,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,6,4,0.1,0.830357143,0.571428571,-31.1827957
240,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.945945946,0.125,-86.78571429
241,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.927927928,0.75,-19.17475728
242,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.954954955,0.75,-21.46226415
243,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.918918919,0.5,-45.58823529
244,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.918918919,0.25,-72.79411765
245,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.945945946,0.375,-60.35714286
246,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.927927928,0.375,-59.58737864
247,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.945945946,0.625,-33.92857143
248,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.963963964,0.375,-61.09813084
249,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.954954955,0.75,-21.46226415
250,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.963963964,0.75,-22.19626168
251,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.891891892,0.75,-15.90909091
252,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.954954955,0.5,-47.64150943
253,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.927927928,0.625,-32.64563107
254,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,6,4,0.01,0.964285714,0.571428571,-40.74074074
255,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.945945946,0.375,-60.35714286
256,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.927927928,0.75,-19.17475728
257,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.972972973,0.75,-22.91666667
258,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.936936937,0.375,-59.97596154
259,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.981981982,0.375,-61.81192661
260,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.963963964,0.375,-61.09813084
261,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.963963964,0.5,-48.13084112
262,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.972972973,0.875,-10.06944444
263,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.972972973,0.375,-61.45833333
264,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.936936937,0.625,-33.29326923
265,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.972972973,0.375,-61.45833333
266,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.945945946,0.5,-47.14285714
267,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.954954955,0.75,-21.46226415
268,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.954954955,0.5,-47.64150943
269,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,6,4,0.001,0.919642857,0.857142857,-6.796116505
270,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.963963964,0.25,-74.06542056
