index,parameters,max_depth,n_estimators,training,validation,overfit_%
250,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.747747748,0.5,-33.13253012
251,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.657657658,0.75,14.04109589
252,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.72972973,0.375,-48.61111111
253,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.675675676,0.5,-26
254,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 6}",4,6,0.678571429,0.571428571,-15.78947368
255,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.747747748,0.125,-83.28313253
256,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.792792793,0.5,-36.93181818
257,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.702702703,0.5,-28.84615385
258,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.666666667,0.25,-62.5
259,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.801801802,0.375,-53.23033708
260,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.72972973,0.375,-48.61111111
261,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.63963964,0.5,-21.83098592
262,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.72972973,0.75,2.777777778
263,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.630630631,0.5,-20.71428571
264,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.72972973,0.5,-31.48148148
265,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.720720721,0.5,-30.625
266,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.675675676,0.75,11
267,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.693693694,0.5,-27.92207792
268,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.684684685,0.5,-26.97368421
269,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 7}",4,7,0.696428571,0.571428571,-17.94871795
270,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.684684685,0.125,-81.74342105
271,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.63963964,0.625,-2.288732394
272,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.63963964,0.625,-2.288732394
273,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.657657658,0.375,-42.97945205
274,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.711711712,0.125,-82.43670886
275,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.738738739,0.25,-66.15853659
276,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.675675676,0.5,-26
277,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.675675676,0.625,-7.5
278,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.648648649,0.375,-42.1875
279,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.693693694,0.5,-27.92207792
280,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.666666667,0.25,-62.5
281,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.576576577,0.5,-13.28125
282,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.594594595,0.375,-36.93181818
283,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.576576577,0.25,-56.640625
284,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 2}",5,2,0.607142857,0.714285714,17.64705882
285,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.72972973,0.25,-65.74074074
286,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.765765766,0.5,-34.70588235
287,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.747747748,0.5,-33.13253012
288,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.693693694,0.375,-45.94155844
289,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.801801802,0.25,-68.82022472
290,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.792792793,0.375,-52.69886364
291,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.675675676,0.5,-26
292,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.738738739,0.75,1.524390244
293,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.765765766,0.375,-51.02941176
294,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.72972973,0.25,-65.74074074
295,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.765765766,0.5,-34.70588235
296,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.711711712,0.625,-12.1835443
297,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.738738739,0.625,-15.39634146
298,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.684684685,0.5,-26.97368421
299,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 3}",5,3,0.705357143,0.857142857,21.51898734
300,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.783783784,0.375,-52.15517241
301,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.81981982,0.25,-69.50549451
302,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.765765766,0.75,-2.058823529
303,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.720720721,0.375,-47.96875
304,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.783783784,0.125,-84.05172414
305,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.720720721,0.5,-30.625
306,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.684684685,0.25,-63.48684211
307,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.747747748,0.625,-16.41566265
308,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.783783784,0.25,-68.10344828
309,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.738738739,0.625,-15.39634146
310,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.774774775,0.5,-35.46511628
311,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.693693694,0.75,8.116883117
312,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.756756757,0.375,-50.44642857
313,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.720720721,0.5,-30.625
314,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 4}",5,4,0.741071429,0.857142857,15.6626506
315,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.81981982,0.25,-69.50549451
316,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.801801802,0.25,-68.82022472
317,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.72972973,0.75,2.777777778
318,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.765765766,0.5,-34.70588235
319,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.747747748,0.375,-49.84939759
320,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.747747748,0.375,-49.84939759
321,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.72972973,0.375,-48.61111111
322,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.738738739,0.625,-15.39634146
323,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.783783784,0.25,-68.10344828
324,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.711711712,0.5,-29.74683544
325,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.792792793,0.5,-36.93181818
326,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.702702703,0.625,-11.05769231
327,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.756756757,0.25,-66.96428571
328,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.72972973,0.375,-48.61111111
329,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 5}",5,5,0.678571429,0.857142857,26.31578947
330,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.810810811,0.5,-38.33333333
331,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.792792793,0.5,-36.93181818
332,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.747747748,0.75,0.301204819
333,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.756756757,0.5,-33.92857143
334,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.801801802,0.25,-68.82022472
335,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.783783784,0.5,-36.20689655
336,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.756756757,0.375,-50.44642857
337,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.801801802,0.625,-22.0505618
338,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.783783784,0.25,-68.10344828
339,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.711711712,0.625,-12.1835443
340,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.756756757,0.375,-50.44642857
341,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.747747748,0.875,17.01807229
342,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.765765766,0.5,-34.70588235
343,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.693693694,0.375,-45.94155844
344,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 6}",5,6,0.6875,0.714285714,3.896103896
345,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.828828829,0.375,-54.75543478
346,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.81981982,0.375,-54.25824176
347,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.765765766,0.75,-2.058823529
348,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.792792793,0.5,-36.93181818
349,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.783783784,0.25,-68.10344828
350,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.756756757,0.375,-50.44642857
351,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.765765766,0.375,-51.02941176
352,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.810810811,0.625,-22.91666667
353,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.783783784,0.25,-68.10344828
354,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.765765766,0.625,-18.38235294
355,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.774774775,0.5,-35.46511628
356,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.801801802,0.625,-22.0505618
357,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.774774775,0.375,-51.59883721
358,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.747747748,0.375,-49.84939759
359,"{'rf_class__max_depth': 5, 'rf_class__n_estimators': 7}",5,7,0.714285714,0.714285714,0
360,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.774774775,0.25,-67.73255814
361,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.72972973,0.75,2.777777778
362,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.693693694,0.375,-45.94155844
363,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.711711712,0.125,-82.43670886
364,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.72972973,0.375,-48.61111111
365,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.774774775,0.375,-51.59883721
366,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.747747748,0.75,0.301204819
367,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.684684685,0.5,-26.97368421
368,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.774774775,0.25,-67.73255814
369,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.72972973,0.375,-48.61111111
370,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.711711712,0.625,-12.1835443
371,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.693693694,0.5,-27.92207792
372,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.747747748,0.375,-49.84939759
373,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.720720721,0.375,-47.96875
374,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 2}",6,2,0.642857143,0.285714286,-55.55555556
375,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.828828829,0.375,-54.75543478
376,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.756756757,1,32.14285714
377,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.810810811,0.5,-38.33333333
378,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.810810811,0,-100
379,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.810810811,0.375,-53.75
380,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.756756757,0.25,-66.96428571
381,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.747747748,0.75,0.301204819
382,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.666666667,0.5,-25
383,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.828828829,0.375,-54.75543478
384,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.846846847,0.375,-55.71808511
385,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.792792793,0.625,-21.16477273
386,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.810810811,0.5,-38.33333333
387,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.783783784,0.375,-52.15517241
388,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.801801802,0.375,-53.23033708
389,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 3}",6,3,0.705357143,0.285714286,-59.49367089
390,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.855855856,0.25,-70.78947368
391,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.801801802,0.625,-22.0505618
392,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.774774775,0.5,-35.46511628
393,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.837837838,0,-100
394,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.756756757,0.375,-50.44642857
395,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.792792793,0.125,-84.23295455
396,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.774774775,0.625,-19.33139535
397,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.72972973,0.75,2.777777778
398,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.828828829,0.375,-54.75543478
399,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.873873874,0.375,-57.08762887
400,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.837837838,0.625,-25.40322581
401,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.837837838,0.5,-40.32258065
402,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.801801802,0.125,-84.41011236
403,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.828828829,0.25,-69.83695652
404,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 4}",6,4,0.741071429,0.428571429,-42.1686747
405,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.864864865,0.375,-56.640625
406,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.828828829,0.5,-39.67391304
407,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.81981982,0.5,-39.01098901
408,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.837837838,0.125,-85.08064516
409,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.864864865,0.375,-56.640625
410,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.801801802,0.125,-84.41011236
411,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.810810811,0.75,-7.5
412,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.720720721,0.75,4.0625
413,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.846846847,0.375,-55.71808511
414,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.891891892,0.625,-29.92424242
415,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.792792793,0.5,-36.93181818
416,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.828828829,0.625,-24.5923913
417,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.846846847,0.25,-70.4787234
418,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.792792793,0.25,-68.46590909
419,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 5}",6,5,0.758928571,0.428571429,-43.52941176
420,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.891891892,0.125,-85.98484848
421,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.801801802,0.5,-37.64044944
422,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.864864865,0.5,-42.1875
423,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.882882883,0.125,-85.84183673
424,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.81981982,0.25,-69.50549451
425,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.810810811,0.25,-69.16666667
426,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.837837838,0.75,-10.48387097
427,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.765765766,0.75,-2.058823529
428,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.810810811,0.25,-69.16666667
429,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.873873874,0.75,-14.17525773
430,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.837837838,0.375,-55.24193548
431,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.837837838,0.5,-40.32258065
432,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.846846847,0.125,-85.2393617
433,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.846846847,0.25,-70.4787234
434,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 6}",6,6,0.794642857,0.428571429,-46.06741573
435,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.900900901,0.125,-86.125
436,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.837837838,0.375,-55.24193548
437,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.846846847,0.375,-55.71808511
438,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.882882883,0.125,-85.84183673
439,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.846846847,0.25,-70.4787234
440,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.792792793,0.25,-68.46590909
441,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.846846847,0.625,-26.19680851
442,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.783783784,0.75,-4.310344828
443,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.864864865,0.5,-42.1875
444,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.927927928,0.625,-32.64563107
445,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.837837838,0.625,-25.40322581
446,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.837837838,0.625,-25.40322581
447,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.891891892,0.25,-71.96969697
448,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.855855856,0.25,-70.78947368
449,"{'rf_class__max_depth': 6, 'rf_class__n_estimators': 7}",6,7,0.821428571,0.571428571,-30.43478261
450,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.810810811,0,-100
451,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.702702703,0.5,-28.84615385
452,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.783783784,0.375,-52.15517241
453,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.783783784,0.125,-84.05172414
454,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.765765766,0.25,-67.35294118
455,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.864864865,0.125,-85.546875
456,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.810810811,0.625,-22.91666667
457,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.63963964,0.375,-41.37323944
458,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.747747748,0.25,-66.56626506
459,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.72972973,0.375,-48.61111111
460,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.810810811,0.375,-53.75
461,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.747747748,0.25,-66.56626506
462,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.783783784,0.25,-68.10344828
463,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.801801802,0.5,-37.64044944
464,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 2}",7,2,0.705357143,0.142857143,-79.74683544
465,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.873873874,0.125,-85.69587629
466,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.747747748,0.625,-16.41566265
467,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.90990991,0.625,-31.31188119
468,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.900900901,0.125,-86.125
469,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.891891892,0.25,-71.96969697
470,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.882882883,0.5,-43.36734694
471,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.81981982,0.625,-23.76373626
472,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.720720721,0.625,-13.28125
473,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.846846847,0.125,-85.2393617
474,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.828828829,0.25,-69.83695652
475,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.837837838,0.625,-25.40322581
476,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.846846847,0.625,-26.19680851
477,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.855855856,0.25,-70.78947368
478,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.801801802,0.5,-37.64044944
479,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 3}",7,3,0.776785714,0.142857143,-81.6091954
480,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.90990991,0.125,-86.26237624
481,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.873873874,0.5,-42.78350515
482,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.882882883,0.75,-15.05102041
483,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.882882883,0.25,-71.68367347
484,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.936936937,0.25,-73.31730769
485,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.90990991,0.375,-58.78712871
486,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.855855856,0.5,-41.57894737
487,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.801801802,0.25,-68.82022472
488,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.882882883,0.125,-85.84183673
489,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.828828829,0.375,-54.75543478
490,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.864864865,0.625,-27.734375
491,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.882882883,0.625,-29.20918367
492,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.900900901,0.25,-72.25
493,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.81981982,0.25,-69.50549451
494,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 4}",7,4,0.767857143,0.142857143,-81.39534884
495,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.90990991,0.125,-86.26237624
496,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.837837838,0.5,-40.32258065
497,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.90990991,0.75,-17.57425743
498,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.882882883,0.125,-85.84183673
499,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.927927928,0.25,-73.05825243
