index,parameters,max_depth,n_estimators,training,validation,overfit_%
57,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 5}",2,5,0.594594595,0.75,26.13636364
58,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 5}",2,5,0.477477477,0.375,-21.46226415
59,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 5}",2,5,0.607142857,0.571428571,-5.882352941
60,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.711711712,0.25,-64.87341772
61,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.603603604,0.625,3.544776119
62,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.612612613,0.75,22.42647059
63,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.693693694,0.5,-27.92207792
64,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.72972973,0.5,-31.48148148
65,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.702702703,0.625,-11.05769231
66,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.621621622,0.5,-19.56521739
67,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.603603604,0.625,3.544776119
68,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.666666667,0.375,-43.75
69,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.621621622,0.5,-19.56521739
70,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.630630631,0.75,18.92857143
71,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.702702703,0.75,6.730769231
72,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.612612613,0.75,22.42647059
73,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.522522523,0.25,-52.15517241
74,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 6}",2,6,0.598214286,0.571428571,-4.47761194
75,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.684684685,0.25,-63.48684211
76,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.675675676,0.625,-7.5
77,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.594594595,0.75,26.13636364
78,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.702702703,0.375,-46.63461538
79,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.738738739,0.375,-49.23780488
80,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.72972973,0.625,-14.35185185
81,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.594594595,0.5,-15.90909091
82,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.648648649,0.625,-3.645833333
83,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.630630631,0.5,-20.71428571
84,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.621621622,0.625,0.543478261
85,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.657657658,0.625,-4.965753425
86,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.693693694,0.625,-9.902597403
87,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.576576577,0.875,51.7578125
88,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.504504505,0.5,-0.892857143
89,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 7}",2,7,0.607142857,0.571428571,-5.882352941
90,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.513513514,0.375,-26.97368421
91,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.594594595,0.75,26.13636364
92,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.603603604,0.5,-17.1641791
93,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.621621622,0.25,-59.7826087
94,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.63963964,0.25,-60.91549296
