index,parameters,alpha,training,validation,overfit_%
88,{'nb_class__alpha': 50000},50000,0.576576577,0.5,-13.28125
89,{'nb_class__alpha': 50000},50000,0.571428571,0.571428571,0
90,{'nb_class__alpha': 100000},100000,0.594594595,0.875,47.15909091
91,{'nb_class__alpha': 100000},100000,0.630630631,0.5,-20.71428571
92,{'nb_class__alpha': 100000},100000,0.612612613,0.625,2.022058824
93,{'nb_class__alpha': 100000},100000,0.621621622,0.5,-19.56521739
94,{'nb_class__alpha': 100000},100000,0.621621622,0.5,-19.56521739
95,{'nb_class__alpha': 100000},100000,0.621621622,0.5,-19.56521739
96,{'nb_class__alpha': 100000},100000,0.612612613,0.625,2.022058824
97,{'nb_class__alpha': 100000},100000,0.612612613,0.625,2.022058824
98,{'nb_class__alpha': 100000},100000,0.648648649,0.375,-42.1875
99,{'nb_class__alpha': 100000},100000,0.603603604,0.75,24.25373134
100,{'nb_class__alpha': 100000},100000,0.594594595,0.875,47.15909091
101,{'nb_class__alpha': 100000},100000,0.594594595,0.75,26.13636364
102,{'nb_class__alpha': 100000},100000,0.612612613,0.625,2.022058824
103,{'nb_class__alpha': 100000},100000,0.612612613,0.5,-18.38235294
104,{'nb_class__alpha': 100000},100000,0.616071429,0.571428571,-7.246376812
105,{'nb_class__alpha': 500000},500000,0.756756757,1,32.14285714
106,{'nb_class__alpha': 500000},500000,0.792792793,0.75,-5.397727273
107,{'nb_class__alpha': 500000},500000,0.765765766,0.875,14.26470588
108,{'nb_class__alpha': 500000},500000,0.783783784,0.75,-4.310344828
109,{'nb_class__alpha': 500000},500000,0.792792793,0.5,-36.93181818
110,{'nb_class__alpha': 500000},500000,0.783783784,0.75,-4.310344828
111,{'nb_class__alpha': 500000},500000,0.783783784,0.625,-20.25862069
112,{'nb_class__alpha': 500000},500000,0.774774775,0.75,-3.197674419
113,{'nb_class__alpha': 500000},500000,0.810810811,0.75,-7.5
114,{'nb_class__alpha': 500000},500000,0.756756757,1,32.14285714
115,{'nb_class__alpha': 500000},500000,0.765765766,0.875,14.26470588
116,{'nb_class__alpha': 500000},500000,0.747747748,0.75,0.301204819
117,{'nb_class__alpha': 500000},500000,0.756756757,0.875,15.625
118,{'nb_class__alpha': 500000},500000,0.756756757,0.625,-17.41071429
119,{'nb_class__alpha': 500000},500000,0.776785714,0.857142857,10.34482759
