index,oversample,decision_boundary,alpha,train_precision_mean,train_precision_std_dev,validate_precision_mean,validate_precision_std_dev,overfit
65,0.85,0.2,100,0.137134302,0.001048389,0.136557026,0.004981609,-0.420957046
66,0.7,0.5,0,0.429407676,0.01861111,0.368611459,0.129833753,-14.15815788
67,0.7,0.5,10,0.435328065,0.020224147,0.375391732,0.108018324,-13.76808384
68,0.7,0.5,20,0.429662036,0.014666184,0.369456654,0.109596131,-14.01226458
69,0.7,0.5,30,0.415007074,0.012881498,0.359897292,0.109463616,-13.27923919
70,0.7,0.5,40,0.397576812,0.015512432,0.347293621,0.113900029,-12.64741528
71,0.7,0.5,50,0.386388349,0.0115372,0.343539162,0.114845324,-11.08966838
72,0.7,0.5,60,0.374688515,0.011564929,0.327875458,0.107068925,-12.49385974
73,0.7,0.5,70,0.362387807,0.013370802,0.31762376,0.09772576,-12.35252564
74,0.7,0.5,80,0.34276297,0.014533397,0.305004898,0.092070366,-11.01579664
75,0.7,0.5,90,0.319394463,0.012833119,0.289901814,0.083688903,-9.233926227
76,0.7,0.5,100,0.291312206,0.01177701,0.270620879,0.066829289,-7.102801339
77,0.7,0.35,0,0.352537357,0.010232047,0.303965851,0.074424005,-13.77769037
78,0.7,0.35,10,0.331102931,0.011853538,0.300388466,0.081346319,-9.276409888
79,0.7,0.35,20,0.308618548,0.009577811,0.280314918,0.062797249,-9.1710724
80,0.7,0.35,30,0.287452374,0.008993992,0.26948035,0.061417788,-6.252174452
81,0.7,0.35,40,0.261195536,0.010486709,0.251548439,0.04291351,-3.693438662
82,0.7,0.35,50,0.238575703,0.009295723,0.224939626,0.029862193,-5.715618545
83,0.7,0.35,60,0.216704153,0.008975173,0.20298752,0.030310093,-6.329658658
84,0.7,0.35,70,0.195066601,0.007874716,0.184963225,0.024229019,-5.179449292
85,0.7,0.35,80,0.177551425,0.00766165,0.166003091,0.021133813,-6.504219785
86,0.7,0.35,90,0.162919087,0.007160263,0.154837919,0.017259347,-4.960233911
87,0.7,0.35,100,0.152451879,0.005328101,0.144547889,0.016022982,-5.184579954
88,0.7,0.2,0,0.274690363,0.012078596,0.2474245,0.042684561,-9.926035428
89,0.7,0.2,10,0.235538751,0.010547922,0.212987182,0.037758184,-9.574462445
90,0.7,0.2,20,0.208435361,0.008873498,0.189061571,0.030808534,-9.294867331
91,0.7,0.2,30,0.186639357,0.00719963,0.180205658,0.027989091,-3.447128773
92,0.7,0.2,40,0.170156241,0.005168143,0.161614505,0.019136747,-5.019936963
93,0.7,0.2,50,0.157385136,0.004382073,0.15170713,0.017830894,-3.607714071
94,0.7,0.2,60,0.148620175,0.003505811,0.146835165,0.009584461,-1.201054658
95,0.7,0.2,70,0.142284222,0.002754907,0.141871705,0.006388801,-0.289924456
96,0.7,0.2,80,0.138468714,0.00161393,0.138511692,0.005830293,0.031038362
97,0.7,0.2,90,0.13639315,0.001032246,0.13561443,0.004962546,-0.570938148
98,0.7,0.2,100,0.135625878,0.000615146,0.135701566,0.004348233,0.055807117
