index,parameters,n_neighbours,training,validation,overfit_%
85,{'kn_class__n_neighbors': 60},60,0.927927928,0.875,-5.703883495
86,{'kn_class__n_neighbors': 60},60,0.954954955,0.875,-8.372641509
87,{'kn_class__n_neighbors': 60},60,0.936936937,0.875,-6.610576923
88,{'kn_class__n_neighbors': 60},60,0.936936937,0.875,-6.610576923
89,{'kn_class__n_neighbors': 60},60,0.9375,1,6.666666667
90,{'kn_class__n_neighbors': 70},70,0.927927928,1,7.766990291
91,{'kn_class__n_neighbors': 70},70,0.927927928,1,7.766990291
92,{'kn_class__n_neighbors': 70},70,0.954954955,1,4.716981132
93,{'kn_class__n_neighbors': 70},70,0.927927928,0.75,-19.17475728
94,{'kn_class__n_neighbors': 70},70,0.936936937,0.75,-19.95192308
95,{'kn_class__n_neighbors': 70},70,0.918918919,0.875,-4.779411765
96,{'kn_class__n_neighbors': 70},70,0.945945946,0.875,-7.5
97,{'kn_class__n_neighbors': 70},70,0.963963964,1,3.738317757
98,{'kn_class__n_neighbors': 70},70,0.927927928,0.75,-19.17475728
99,{'kn_class__n_neighbors': 70},70,0.963963964,1,3.738317757
100,{'kn_class__n_neighbors': 70},70,0.927927928,0.875,-5.703883495
101,{'kn_class__n_neighbors': 70},70,0.954954955,0.875,-8.372641509
102,{'kn_class__n_neighbors': 70},70,0.927927928,0.875,-5.703883495
103,{'kn_class__n_neighbors': 70},70,0.936936937,0.875,-6.610576923
104,{'kn_class__n_neighbors': 70},70,0.946428571,1,5.660377358
105,{'kn_class__n_neighbors': 80},80,0.918918919,1,8.823529412
106,{'kn_class__n_neighbors': 80},80,0.927927928,1,7.766990291
107,{'kn_class__n_neighbors': 80},80,0.936936937,1,6.730769231
108,{'kn_class__n_neighbors': 80},80,0.918918919,0.75,-18.38235294
109,{'kn_class__n_neighbors': 80},80,0.936936937,0.75,-19.95192308
110,{'kn_class__n_neighbors': 80},80,0.918918919,0.875,-4.779411765
111,{'kn_class__n_neighbors': 80},80,0.954954955,0.875,-8.372641509
112,{'kn_class__n_neighbors': 80},80,0.954954955,1,4.716981132
113,{'kn_class__n_neighbors': 80},80,0.927927928,0.75,-19.17475728
114,{'kn_class__n_neighbors': 80},80,0.954954955,1,4.716981132
115,{'kn_class__n_neighbors': 80},80,0.927927928,0.875,-5.703883495
116,{'kn_class__n_neighbors': 80},80,0.936936937,0.875,-6.610576923
117,{'kn_class__n_neighbors': 80},80,0.927927928,0.875,-5.703883495
118,{'kn_class__n_neighbors': 80},80,0.936936937,0.875,-6.610576923
119,{'kn_class__n_neighbors': 80},80,0.955357143,1,4.672897196
