index,parameters,C,degree,training,validation,overfit_%
517,"{'svc_class__C': 1000, 'svc_class__degree': 6}",1000,6,1,0.625,-37.5
518,"{'svc_class__C': 1000, 'svc_class__degree': 6}",1000,6,1,0.5,-50
519,"{'svc_class__C': 1000, 'svc_class__degree': 6}",1000,6,1,0.5,-50
520,"{'svc_class__C': 1000, 'svc_class__degree': 6}",1000,6,1,0.625,-37.5
521,"{'svc_class__C': 1000, 'svc_class__degree': 6}",1000,6,1,0.375,-62.5
522,"{'svc_class__C': 1000, 'svc_class__degree': 6}",1000,6,1,0.5,-50
523,"{'svc_class__C': 1000, 'svc_class__degree': 6}",1000,6,1,0.625,-37.5
524,"{'svc_class__C': 1000, 'svc_class__degree': 6}",1000,6,1,0.428571429,-57.14285714
525,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,1,0
526,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,1,0
527,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,1,0
528,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,0.875,-12.5
529,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,0.75,-25
530,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,0.875,-12.5
531,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,1,0
532,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,1,0
533,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,0.875,-12.5
534,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,0.875,-12.5
535,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,1,0
536,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,0.75,-25
537,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,0.875,-12.5
538,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,0.875,-12.5
539,"{'svc_class__C': 1000, 'svc_class__degree': 7}",1000,7,1,1,0
