index,parameters,oversample_SMOTE__sampling_strategy,kn_class__n_neighbors,kn_class__weights,kn_class__algorithm,kn_class__p,training,validation,overfit_%
257,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.625,-37.5
258,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.375,-62.5
259,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.5,-50
260,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.375,-62.5
261,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.75,-25
262,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.75,-25
263,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.25,-75
264,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.875,-12.5
265,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.5,-50
266,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.625,-37.5
267,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.75,-25
268,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.5,-50
269,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,1,1,0.571428571,-42.85714286
270,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.927927928,1,7.766990291
271,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.927927928,0.875,-5.703883495
272,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.918918919,1,8.823529412
273,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.927927928,0.75,-19.17475728
274,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.945945946,0.625,-33.92857143
275,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.927927928,0.875,-5.703883495
276,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.945945946,1,5.714285714
277,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.945945946,1,5.714285714
278,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.927927928,0.75,-19.17475728
279,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.954954955,1,4.716981132
280,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.936936937,1,6.730769231
281,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.945945946,0.875,-7.5
282,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.936936937,0.875,-6.610576923
283,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.945945946,0.875,-7.5
284,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,uniform,auto,2,0.964285714,1,3.703703704
285,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.900900901,1,11
286,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.891891892,0.875,-1.893939394
287,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.918918919,1,8.823529412
288,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.900900901,0.75,-16.75
289,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.918918919,0.625,-31.98529412
290,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.900900901,0.75,-16.75
291,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.918918919,1,8.823529412
292,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.90990991,1,9.900990099
293,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.891891892,0.75,-15.90909091
294,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.927927928,1,7.766990291
295,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.927927928,1,7.766990291
296,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.900900901,0.875,-2.875
297,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.90990991,0.875,-3.836633663
298,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.891891892,0.75,-15.90909091
299,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,uniform,auto,2,0.919642857,1,8.737864078
300,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.837837838,0.875,4.435483871
301,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.81981982,0.875,6.730769231
302,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.837837838,0.875,4.435483871
303,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.828828829,0.5,-39.67391304
304,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.882882883,0.5,-43.36734694
305,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.855855856,0.625,-26.97368421
306,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.846846847,0.875,3.324468085
307,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.846846847,1,18.08510638
308,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.837837838,0.625,-25.40322581
309,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.873873874,1,14.43298969
310,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.846846847,1,18.08510638
311,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.855855856,0.875,2.236842105
312,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.855855856,0.875,2.236842105
313,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.846846847,0.75,-11.43617021
314,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,uniform,auto,2,0.839285714,1,19.14893617
315,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,1,0
316,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,0.875,-12.5
317,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,1,0
318,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,0.75,-25
319,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,0.625,-37.5
320,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,0.875,-12.5
321,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,1,0
322,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,1,0
323,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,0.75,-25
324,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,1,0
325,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,1,0
326,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,0.875,-12.5
327,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,0.875,-12.5
328,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,0.875,-12.5
329,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,150,distance,auto,2,1,1,0
330,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,1,0
331,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,0.875,-12.5
332,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,1,0
333,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,0.75,-25
334,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,0.625,-37.5
335,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,0.875,-12.5
336,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,0.875,-12.5
337,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,1,0
338,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,0.75,-25
339,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,1,0
340,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,1,0
341,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,0.875,-12.5
342,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,0.875,-12.5
343,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,0.75,-25
344,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,150,distance,auto,2,1,1,0
345,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.875,-12.5
346,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.875,-12.5
347,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.875,-12.5
348,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.5,-50
349,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.5,-50
350,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.625,-37.5
351,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.875,-12.5
352,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,1,0
353,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.625,-37.5
354,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,1,0
355,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,1,0
356,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.875,-12.5
357,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.875,-12.5
358,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,0.75,-25
359,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 150, 'kn_class__p': 2, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,150,distance,auto,2,1,1,0
360,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.855855856,0.625,-26.97368421
361,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.783783784,0.875,11.63793103
362,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.837837838,1,19.35483871
363,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.810810811,0.625,-22.91666667
364,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.81981982,0.625,-23.76373626
365,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.828828829,0.375,-54.75543478
366,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.837837838,0.75,-10.48387097
367,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.846846847,0.875,3.324468085
368,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.810810811,0.75,-7.5
369,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.846846847,1,18.08510638
370,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.81981982,0.75,-8.516483516
371,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.846846847,0.875,3.324468085
372,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.828828829,0.875,5.570652174
373,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.810810811,0.875,7.916666667
374,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,200,uniform,auto,1,0.857142857,1,16.66666667
375,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 200, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,200,uniform,auto,1,0.738738739,0.625,-15.39634146
