index,parameters,max_depth,max_leaf_nodes,training,validation,overfit_%
239,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.758928571,0.571428571,-24.70588235
240,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.63963964,0.375,-41.37323944
241,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.387387387,0.5,29.06976744
242,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.558558559,0.5,-10.48387097
243,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.594594595,0.125,-78.97727273
244,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.540540541,0.375,-30.625
245,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.477477477,0.375,-21.46226415
246,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.387387387,0.25,-35.46511628
247,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.486486486,0.25,-48.61111111
248,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.594594595,0.625,5.113636364
249,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.594594595,0.375,-36.93181818
250,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.756756757,0.625,-17.41071429
251,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.324324324,0.25,-22.91666667
252,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.648648649,0.125,-80.72916667
253,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.522522523,0.375,-28.23275862
254,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 6}",4,6,0.723214286,0.571428571,-20.98765432
255,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.612612613,0.25,-59.19117647
256,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.477477477,0.625,30.89622642
257,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.828828829,0.75,-9.510869565
258,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.711711712,0.375,-47.31012658
259,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.45045045,0.25,-44.5
260,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.396396396,0.375,-5.397727273
261,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.63963964,0.625,-2.288732394
262,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.486486486,0.25,-48.61111111
263,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.558558559,0.625,11.89516129
264,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.495495495,0.375,-24.31818182
265,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.648648649,0.625,-3.645833333
266,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.315315315,0.25,-20.71428571
267,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.720720721,0.125,-82.65625
268,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.396396396,0.25,-36.93181818
269,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 7}",4,7,0.526785714,0.285714286,-45.76271186
270,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.603603604,0.5,-17.1641791
271,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.738738739,0.75,1.524390244
272,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.594594595,0.625,5.113636364
273,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.765765766,0.375,-51.02941176
274,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.747747748,0.5,-33.13253012
275,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.72972973,0.75,2.777777778
276,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.603603604,0.5,-17.1641791
277,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.585585586,0.75,28.07692308
278,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.423423423,0.25,-40.95744681
279,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.792792793,0.75,-5.397727273
280,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.603603604,0.5,-17.1641791
281,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.738738739,0.75,1.524390244
282,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.603603604,0.5,-17.1641791
283,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.414414414,0.375,-9.510869565
284,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 2}",5,2,0.419642857,0.285714286,-31.91489362
285,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
286,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
287,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
288,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
289,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0.603603604,0.5,-17.1641791
290,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0.594594595,0.625,5.113636364
291,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0.603603604,0.5,-17.1641791
292,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
293,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
294,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0.531531532,0.25,-52.96610169
295,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0.603603604,0.5,-17.1641791
296,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
297,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
298,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
299,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 3}",5,3,0,0,NaN
300,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.522522523,0.25,-52.15517241
301,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.63963964,0.625,-2.288732394
302,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.477477477,0.5,4.716981132
303,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.666666667,0.25,-62.5
304,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.540540541,0.375,-30.625
305,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.477477477,0.375,-21.46226415
306,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.486486486,0.375,-22.91666667
307,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.495495495,0.625,26.13636364
308,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.414414414,0.625,50.81521739
309,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.531531532,0.25,-52.96610169
310,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.495495495,0.375,-24.31818182
311,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.630630631,0.75,18.92857143
312,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.486486486,0.5,2.777777778
313,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0,0,NaN
314,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 4}",5,4,0.4375,0.571428571,30.6122449
315,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.756756757,0.375,-50.44642857
316,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.387387387,0.5,29.06976744
317,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.477477477,0.5,4.716981132
318,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.594594595,0.125,-78.97727273
319,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.540540541,0.375,-30.625
320,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.603603604,0.5,-17.1641791
321,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.486486486,0.375,-22.91666667
322,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.711711712,0.625,-12.1835443
323,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.279279279,0.5,79.03225806
324,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.459459459,0.125,-72.79411765
325,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.495495495,0.375,-24.31818182
326,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.261261261,0.125,-52.15517241
327,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.72972973,0.625,-14.35185185
328,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.315315315,0.25,-20.71428571
329,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 5}",5,5,0.758928571,0.571428571,-24.70588235
330,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.63963964,0.375,-41.37323944
331,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.387387387,0.5,29.06976744
332,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.558558559,0.5,-10.48387097
333,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.459459459,0,-100
334,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.540540541,0.375,-30.625
335,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.477477477,0.375,-21.46226415
336,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.387387387,0.25,-35.46511628
337,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.486486486,0.25,-48.61111111
338,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.594594595,0.625,5.113636364
339,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.594594595,0.375,-36.93181818
340,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.756756757,0.625,-17.41071429
341,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.603603604,0.75,24.25373134
342,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.648648649,0.125,-80.72916667
343,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.522522523,0.375,-28.23275862
344,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 6}",5,6,0.723214286,0.571428571,-20.98765432
345,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.459459459,0.125,-72.79411765
346,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.324324324,0.5,54.16666667
347,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.828828829,0.75,-9.510869565
348,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.513513514,0,-100
349,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.45045045,0.25,-44.5
350,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.396396396,0.375,-5.397727273
351,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.63963964,0.625,-2.288732394
352,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.486486486,0.25,-48.61111111
353,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.558558559,0.625,11.89516129
354,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.495495495,0.375,-24.31818182
355,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.648648649,0.625,-3.645833333
356,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.666666667,0.875,31.25
357,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.720720721,0.125,-82.65625
358,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.396396396,0.25,-36.93181818
359,"{'dt_class__max_depth': 5, 'dt_class__max_leaf_nodes': 7}",5,7,0.526785714,0.285714286,-45.76271186
360,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.603603604,0.5,-17.1641791
361,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.738738739,0.75,1.524390244
362,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.594594595,0.625,5.113636364
363,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.765765766,0.375,-51.02941176
364,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.747747748,0.5,-33.13253012
365,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.72972973,0.75,2.777777778
366,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.603603604,0.5,-17.1641791
367,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.585585586,0.75,28.07692308
368,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.423423423,0.25,-40.95744681
369,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.792792793,0.75,-5.397727273
370,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.603603604,0.5,-17.1641791
371,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.738738739,0.75,1.524390244
372,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.603603604,0.5,-17.1641791
373,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.414414414,0.375,-9.510869565
374,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 2}",6,2,0.419642857,0.285714286,-31.91489362
375,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
376,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
377,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
378,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
379,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.603603604,0.5,-17.1641791
380,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.594594595,0.625,5.113636364
381,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.603603604,0.5,-17.1641791
382,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
383,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
384,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.531531532,0.25,-52.96610169
385,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0.603603604,0.5,-17.1641791
386,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
387,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
388,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
389,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 3}",6,3,0,0,NaN
390,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.522522523,0.25,-52.15517241
391,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.63963964,0.625,-2.288732394
392,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.477477477,0.5,4.716981132
393,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.666666667,0.25,-62.5
394,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.540540541,0.375,-30.625
395,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.477477477,0.375,-21.46226415
396,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.486486486,0.375,-22.91666667
397,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.495495495,0.625,26.13636364
398,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.414414414,0.625,50.81521739
399,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.531531532,0.25,-52.96610169
400,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.495495495,0.375,-24.31818182
401,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.630630631,0.75,18.92857143
402,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.486486486,0.5,2.777777778
403,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0,0,NaN
404,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 4}",6,4,0.4375,0.571428571,30.6122449
405,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.756756757,0.375,-50.44642857
406,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.387387387,0.5,29.06976744
407,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.477477477,0.5,4.716981132
408,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.594594595,0.125,-78.97727273
409,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.540540541,0.375,-30.625
410,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.603603604,0.5,-17.1641791
411,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.486486486,0.375,-22.91666667
412,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.711711712,0.625,-12.1835443
413,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.279279279,0.5,79.03225806
414,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.459459459,0.125,-72.79411765
415,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.495495495,0.375,-24.31818182
416,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.261261261,0.125,-52.15517241
417,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.72972973,0.625,-14.35185185
418,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.315315315,0.25,-20.71428571
419,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 5}",6,5,0.758928571,0.571428571,-24.70588235
420,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.63963964,0.375,-41.37323944
421,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.387387387,0.5,29.06976744
422,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.558558559,0.5,-10.48387097
423,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.459459459,0,-100
424,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.540540541,0.375,-30.625
425,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.477477477,0.375,-21.46226415
426,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.387387387,0.25,-35.46511628
427,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.486486486,0.25,-48.61111111
428,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.594594595,0.625,5.113636364
429,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.594594595,0.375,-36.93181818
430,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.756756757,0.625,-17.41071429
431,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.603603604,0.75,24.25373134
432,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.648648649,0.125,-80.72916667
433,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.522522523,0.375,-28.23275862
434,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 6}",6,6,0.723214286,0.571428571,-20.98765432
435,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.459459459,0.125,-72.79411765
436,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.576576577,0.625,8.3984375
437,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.828828829,0.75,-9.510869565
438,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.513513514,0,-100
439,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.45045045,0.25,-44.5
440,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.396396396,0.375,-5.397727273
441,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.63963964,0.625,-2.288732394
442,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.486486486,0.25,-48.61111111
443,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.558558559,0.625,11.89516129
444,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.495495495,0.375,-24.31818182
445,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.648648649,0.625,-3.645833333
446,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.495495495,0.625,26.13636364
447,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.720720721,0.125,-82.65625
448,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.396396396,0.25,-36.93181818
449,"{'dt_class__max_depth': 6, 'dt_class__max_leaf_nodes': 7}",6,7,0.526785714,0.285714286,-45.76271186
450,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.603603604,0.5,-17.1641791
451,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.738738739,0.75,1.524390244
452,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.594594595,0.625,5.113636364
453,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.765765766,0.375,-51.02941176
454,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.747747748,0.5,-33.13253012
455,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.72972973,0.75,2.777777778
456,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.603603604,0.5,-17.1641791
457,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.585585586,0.75,28.07692308
458,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.423423423,0.25,-40.95744681
459,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.792792793,0.75,-5.397727273
460,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.603603604,0.5,-17.1641791
461,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.738738739,0.75,1.524390244
462,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.603603604,0.5,-17.1641791
463,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.414414414,0.375,-9.510869565
464,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 2}",7,2,0.419642857,0.285714286,-31.91489362
465,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
466,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
467,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
468,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
469,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.603603604,0.5,-17.1641791
470,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.594594595,0.625,5.113636364
471,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.603603604,0.5,-17.1641791
472,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
473,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
474,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.531531532,0.25,-52.96610169
475,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0.603603604,0.5,-17.1641791
476,"{'dt_class__max_depth': 7, 'dt_class__max_leaf_nodes': 3}",7,3,0,0,NaN
